;;e_hartz_phase;e_hartz_abs;Capacitance, 21 component (F)
;;0;1;-5.8357E-13
;;0;1.6;-9.3580E-13
;;0;2.2;-1.2896E-12
;;0;2.8;-1.6449E-12
;;0;3.4;-2.0016E-12
;;0;4;-2.3599E-12
;;0.012566;1;-5.8353E-13-7.3605E-15i
;;0.012566;1.6;-9.3572E-13-1.1829E-14i
;;0.012566;2.2;-1.2895E-12-1.6335E-14i
;;0.012566;2.8;-1.6447E-12-2.0879E-14i
;;0.012566;3.4;-2.0015E-12-2.5458E-14i
;;0.012566;4;-2.3597E-12-3.0074E-14i
;;0.025133;1;-5.8339E-13-1.4720E-14i
;;0.025133;1.6;-9.3550E-13-2.3656E-14i
;;0.025133;2.2;-1.2891E-12-3.2668E-14i
;;0.025133;2.8;-1.6443E-12-4.1754E-14i
;;0.025133;3.4;-2.0010E-12-5.0913E-14i
;;0.025133;4;-2.3591E-12-6.0142E-14i
;;0.037699;1;-5.8315E-13-2.2077E-14i
;;0.037699;1.6;-9.3512E-13-3.5479E-14i
;;0.037699;2.2;-1.2886E-12-4.8995E-14i
;;0.037699;2.8;-1.6436E-12-6.2622E-14i
;;0.037699;3.4;-2.0002E-12-7.6358E-14i
;;0.037699;4;-2.3581E-12-9.0201E-14i
;;0.050265;1;-5.8283E-13-2.9430E-14i
;;0.050265;1.6;-9.3459E-13-4.7296E-14i
;;0.050265;2.2;-1.2879E-12-6.5314E-14i
;;0.050265;2.8;-1.6427E-12-8.3480E-14i
;;0.050265;3.4;-1.9990E-12-1.0179E-13i
;;0.050265;4;-2.3568E-12-1.2024E-13i
;;0.062832;1;-5.8241E-13-3.6779E-14i
;;0.062832;1.6;-9.3392E-13-5.9105E-14i
;;0.062832;2.2;-1.2870E-12-8.1622E-14i
;;0.062832;2.8;-1.6415E-12-1.0432E-13i
;;0.062832;3.4;-1.9975E-12-1.2721E-13i
;;0.062832;4;-2.3550E-12-1.5027E-13i
